Success: Pre-trained SSLAM loaded.

--- Starting SOTA Run: Fourier + Slot-Pooling + Fine-tuning ---
Epoch 1/50 | Acc: 5.25% | Best: 5.25%
Epoch 2/50 | Acc: 13.60% | Best: 13.60%
Epoch 3/50 | Acc: 23.00% | Best: 23.00%
Epoch 4/50 | Acc: 27.60% | Best: 27.60%
Epoch 5/50 | Acc: 33.80% | Best: 33.80%
Epoch 6/50 | Acc: 40.45% | Best: 40.45%
Epoch 7/50 | Acc: 43.05% | Best: 43.05%
Epoch 8/50 | Acc: 47.05% | Best: 47.05%
Epoch 9/50 | Acc: 49.70% | Best: 49.70%
Epoch 10/50 | Acc: 54.20% | Best: 54.20%
Epoch 11/50 | Acc: 55.45% | Best: 55.45%
Epoch 12/50 | Acc: 56.65% | Best: 56.65%
Epoch 13/50 | Acc: 60.55% | Best: 60.55%
Epoch 14/50 | Acc: 60.50% | Best: 60.55%
Epoch 15/50 | Acc: 66.30% | Best: 66.30%
Epoch 16/50 | Acc: 66.35% | Best: 66.35%
Epoch 17/50 | Acc: 67.70% | Best: 67.70%
Epoch 18/50 | Acc: 70.60% | Best: 70.60%
Epoch 19/50 | Acc: 73.50% | Best: 73.50%
Epoch 20/50 | Acc: 73.80% | Best: 73.80%
Epoch 21/50 | Acc: 75.90% | Best: 75.90%
Epoch 22/50 | Acc: 78.10% | Best: 78.10%
Epoch 23/50 | Acc: 77.55% | Best: 78.10%
Epoch 24/50 | Acc: 80.25% | Best: 80.25%
Epoch 25/50 | Acc: 82.60% | Best: 82.60%
Epoch 26/50 | Acc: 83.00% | Best: 83.00%
Epoch 27/50 | Acc: 84.40% | Best: 84.40%
Epoch 28/50 | Acc: 85.00% | Best: 85.00%
Epoch 29/50 | Acc: 85.25% | Best: 85.25%
Epoch 30/50 | Acc: 86.95% | Best: 86.95%
Epoch 31/50 | Acc: 87.50% | Best: 87.50%
Epoch 32/50 | Acc: 88.75% | Best: 88.75%
Epoch 33/50 | Acc: 90.00% | Best: 90.00%
Epoch 34/50 | Acc: 90.00% | Best: 90.00%
Epoch 35/50 | Acc: 91.40% | Best: 91.40%
Epoch 36/50 | Acc: 91.85% | Best: 91.85%
Epoch 37/50 | Acc: 91.85% | Best: 91.85%
Epoch 38/50 | Acc: 92.65% | Best: 92.65%
Epoch 39/50 | Acc: 93.45% | Best: 93.45%
Epoch 40/50 | Acc: 94.10% | Best: 94.10%
Epoch 41/50 | Acc: 93.70% | Best: 94.10%
Epoch 42/50 | Acc: 95.00% | Best: 95.00%
Epoch 43/50 | Acc: 94.15% | Best: 95.00%
Epoch 44/50 | Acc: 94.80% | Best: 95.00%
Epoch 45/50 | Acc: 94.80% | Best: 95.00%
Epoch 46/50 | Acc: 95.50% | Best: 95.50%
Epoch 47/50 | Acc: 95.00% | Best: 95.50%
Epoch 48/50 | Acc: 95.30% | Best: 95.50%
Epoch 49/50 | Acc: 95.55% | Best: 95.55%
Epoch 50/50 | Acc: 95.15% | Best: 95.55%
